Price,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,END=2025-02-05,INTERVAL='1D',START=2026-02-05,END=2025-02-05,INTERVAL='1D',PETR4.SA,START=2026-02-05,END=2025-02-05,INTERVAL='1D',PETR4.SA,START=2026-02-05,END=2025-02-05,INTERVAL='1D',PETR4.SA,START=2026-02-05,END=2025-02-05,INTERVAL='1D',PETR4.SA,START=2026-02-05,END=2025-02-05,INTERVAL='1D',PETR4.SA,START=2026-02-05
Date,,,,,,,,,,,,,,,,,,,,,,,
2026-06-30,,,,,,37.79999923706055,,,,38.18000030517578,,,,37.7400016784668,,,,38.16999816894531,,,,31974300,
2026-07-01,,,,,,37.83000183105469,,,,37.84000015258789,,,,37.400001525878906,,,,37.5,,,,21094300,
2026-07-02,,,,,,37.959999084472656,,,,38.459999084472656,,,,37.650001525878906,,,,37.88999938964844,,,,21888800,
2026-07-03,,,,,,38.25,,,,38.25,,,,37.86000061035156,,,,38.06999969482422,,,,10369500,
2026-07-06,,,,,,37.77000045776367,,,,38.02000045776367,,,,37.61000061035156,,,,37.95000076293945,,,,20811400,
2026-07-07,,,,,,38.439998626708984,,,,38.77000045776367,,,,37.91999816894531,,,,38.0,,,,39823600,
2026-07-08,,,,,,39.650001525878906,,,,39.75,,,,39.0,,,,39.650001525878906,,,,40215300,
2026-07-09,,,,,,39.209999084472656,,,,39.97999954223633,,,,38.88999938964844,,,,39.7400016784668,,,,33386500,
2026-07-10,,,,,,39.650001525878906,,,,39.970001220703125,,,,39.34000015258789,,,,39.63999938964844,,,,27316800,
2026-07-13,,,,,,40.65999984741211,,,,40.91999816894531,,,,40.2400016784668,,,,40.5099983215332,,,,43045700,
2026-07-14,,,,,,40.65999984741211,,,,41.310001373291016,,,,40.11000061035156,,,,41.20000076293945,,,,32649500,
2026-07-15,,,,,,40.59000015258789,,,,40.79999923706055,,,,40.22999954223633,,,,40.40999984741211,,,,25608800,
2026-07-16,,,,,,39.88999938964844,,,,40.86000061035156,,,,39.88999938964844,,,,40.380001068115234,,,,20551700,
2026-07-17,,,,,,40.900001525878906,,,,41.11000061035156,,,,40.40999984741211,,,,40.40999984741211,,,,32168300,
2026-07-20,,,,,,41.150001525878906,,,,41.439998626708984,,,,40.470001220703125,,,,41.20000076293945,,,,26987600,
2026-07-21,,,,,,41.65999984741211,,,,41.70000076293945,,,,41.130001068115234,,,,41.209999084472656,,,,38631400,
2026-07-22,,,,,,42.58000183105469,,,,42.7400016784668,,,,41.970001220703125,,,,42.099998474121094,,,,38292200,
2026-07-23,,,,,,42.95000076293945,,,,43.4900016784668,,,,42.86000061035156,,,,43.400001525878906,,,,25257900,
2026-07-24,,,,,,42.209999084472656,,,,42.90999984741211,,,,42.150001525878906,,,,42.369998931884766,,,,29151600,
2026-07-27,,,,,,41.0099983215332,,,,41.47999954223633,,,,40.81999969482422,,,,41.20000076293945,,,,32902600,
2026-07-28,,,,,,41.209999084472656,,,,41.77000045776367,,,,40.88999938964844,,,,41.02000045776367,,,,29946800,
2026-07-29,,,,,,42.0,,,,42.400001525878906,,,,41.75,,,,42.15999984741211,,,,31465400,
2026-07-30,,,,,,42.84000015258789,,,,0.0,,,,0.0,,,,0.0,,,,0,
